"","LocBin","FM","Disc","CS_1","CS_UB","CS_2B","LCM","fail_cs1","fail_csub","fail_cs2b"
"Covariate_1_3_2sided_1_Threshold","0.067","6e-04","0.1594","0.1598","0.0506","0.2708","0.0158","0","0","0"
"Covariate_1_3_2sided_1_Minimum","0.0264","0","0.0478","0.021","0.1442","0.2024","0","0","0","0"
"Covariate_10_3_2sided_1_Threshold","0.0146","0","0.1768","0.015","0.9972","0.9972","0","0","0","0"
"Covariate_10_3_2sided_1_Minimum","0.0062","0","0.0476","0.0108","0.0436","0.0434","0","0","0","0"
"Covariate_11_3_2sided_1_Threshold","0.0094","0","0.1396","0.0128","0.9992","0.9992","0","0","0","0"
"Covariate_11_3_2sided_1_Minimum","0.0038","0","0.0448","0.0104","0.0412","0.0406","0","0","0","0"
"Covariate_12_3_2sided_1_Threshold","0.0054","0","0.1354","0.012","0.998","0.998","0","0","0","0"
"Covariate_12_3_2sided_1_Minimum","0.0036","0","0.037","0.0092","0.0386","0.0392","0","0","0","0"
"Covariate_13_3_2sided_1_Threshold","0.0108","0","0.1148","0.0116","0.9944","0.9944","0","0","0","0"
"Covariate_13_3_2sided_1_Minimum","0.0066","0","0.0396","0.0142","0.0314","0.027","0","0","0","0"
"Covariate_14_3_2sided_1_Threshold","0.0096","0","0.0896","0.012","0.9694","0.9694","0","0","0","0"
"Covariate_14_3_2sided_1_Minimum","0.0098","0","0.0354","0.0146","0.041","0.0314","0","0","0","0"
"Covariate_15_3_2sided_1_Threshold","0.009","0","0.0648","0.013","0.8776","0.877","0","0","0","0"
"Covariate_15_3_2sided_1_Minimum","0.0076","0","0.0338","0.0132","0.0352","0.0278","0","4e-04","4e-04","4e-04"
"Covariate_16_3_2sided_1_Threshold","0.0058","0","0.0648","0.0156","0.6294","0.629","0","0","0","0"
"Covariate_16_3_2sided_1_Minimum","0.009","0","0.0406","0.022","0.0448","0.038","0","0.0074","0.0074","0.0074"
"Covariate_17_3_2sided_1_Threshold","0.0084","0","0.0536","0.0152","0.313","0.3108","0","0","0","0"
"Covariate_17_3_2sided_1_Minimum","0.0132","0","0.0386","0.0236","0.0422","0.0364","0","0.0258","0.0258","0.0258"
"Covariate_18_3_2sided_1_Threshold","0.0116","0","0.051","0.0114","0.1838","0.179","0","0","0","0"
"Covariate_18_3_2sided_1_Minimum","0.0142","0","0.0496","0.0392","0.037","0.0452","0","0.0606","0.0606","0.0606"
"Covariate_2_3_2sided_1_Threshold","0.0588","0","0.1824","0.0852","0.0614","0.254","0.0026","0","0","0"
"Covariate_2_3_2sided_1_Minimum","0.0322","0","0.0518","0.0162","0.2138","0.2206","0","0","0","0"
"Covariate_3_3_2sided_1_Threshold","0.052","0","0.2272","0.044","0.0826","0.2614","0","0","0","0"
"Covariate_3_3_2sided_1_Minimum","0.0244","0","0.0644","0.0176","0.273","0.2676","0","0","0","0"
"Covariate_4_3_2sided_1_Threshold","0.0522","0","0.306","0.024","0.1142","0.274","0","0","0","0"
"Covariate_4_3_2sided_1_Minimum","0.0202","0","0.048","0.012","0.3036","0.2886","0","0","0","0"
"Covariate_5_3_2sided_1_Threshold","0.041","0","0.3826","0.0186","0.2168","0.3214","0","0","0","0"
"Covariate_5_3_2sided_1_Minimum","0.0116","0","0.0472","0.013","0.257","0.25","0","0","0","0"
"Covariate_6_3_2sided_1_Threshold","0.0498","0","0.3654","0.0118","0.3312","0.3568","0","0","0","0"
"Covariate_6_3_2sided_1_Minimum","0.011","0","0.052","0.0106","0.1074","0.1054","0","0","0","0"
"Covariate_7_3_2sided_1_Threshold","0.028","0","0.2668","0.014","0.4884","0.5092","0","0","0","0"
"Covariate_7_3_2sided_1_Minimum","0.0106","0","0.0484","0.0126","0.0506","0.05","0","0","0","0"
"Covariate_8_3_2sided_1_Threshold","0.0266","0","0.2622","0.0146","0.8204","0.816","0","0","0","0"
"Covariate_8_3_2sided_1_Minimum","0.008","0","0.0502","0.0144","0.0468","0.0468","0","0","0","0"
"Covariate_9_3_2sided_1_Threshold","0.0226","0","0.2052","0.0158","0.9748","0.9748","0","0","0","0"
"Covariate_9_3_2sided_1_Minimum","0.0092","0","0.047","0.009","0.043","0.0428","0","0","0","0"
