Test,Binomial,Binomial,Binomial,Discontinuity,Discontinuity,Discontinuity,CS1,CS1,CS1,CSUB,CSUB,CSUB,CS2B,CS2B,CS2B,LCM,LCM,LCM
fraction of p-hackers,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1,0,0.5,1
Thresholding, , , , , , , , , , , , , , , , , , 
No pub bias,0.0314,0.1004,0.1786,0.0438,0.363,0.7216,0.0612,0.8008,1,0.0362,0.1206,0.7732,0.0618,0.878,1,0.0284,0.4084,0.9948
Sharp pub bias,0.0314,0.1004,0.1786,0.918,0.9982,0.9994,0.128,0.8346,1,0.9946,0.9992,1,0.9946,0.9992,1,0.0096,0.9278,1
Smooth pub bias,0.0196,0.0532,0.0886,0.0418,0.219,0.4814,0.0172,0.1168,0.791,1,1,1,1,1,1,0,0.0296,0.5818
Minimum, , , , , , , , , , , , , , , , , , 
No pub bias,0.0314,0.0272,0.0278,0.0438,0.0476,0.051,0.0612,0.031,0.021,0.0362,0.0302,0.312,0.0618,0.0414,0.3588,0.0284,0.0004,0
Sharp pub bias,0.0314,0.0272,0.0278,0.918,0.9476,0.9648,0.128,0.0748,0.0578,0.9946,0.9992,1,0.9946,0.9992,1,0.0096,0.0008,0.0006
Smooth pub bias,0.0196,0.0188,0.0176,0.0418,0.0424,0.0468,0.0172,0.009,0.0116,1,1,1,1,1,1,0,0,0
